N,session,start_time,end_time,count,mean_hr,max_hr,min_hr,row_type
1,1,2026-03-11 17:40:08.782707+09:00,2026-03-11 17:40:38.781122+09:00,30,73.46666666666667,77,69,session
1,2,2026-03-11 18:28:55.432943+09:00,2026-03-11 18:29:25.418207+09:00,29,83.13793103448276,85,82,session
1,summary,,,59,78.30229885057472,,,summary
3,1,2026-03-11 17:41:21.377142+09:00,2026-03-11 17:41:51.376306+09:00,31,86.48387096774194,90,83,session
3,2,2026-03-11 18:29:43.320832+09:00,2026-03-11 18:30:13.318565+09:00,30,74.33333333333333,76,74,session
3,summary,,,61,80.40860215053763,,,summary
1,1,2026-03-11 17:40:08.782707+09:00,2026-03-11 17:40:38.781122+09:00,30,73.46666666666667,77,69,session
1,2,2026-03-11 18:28:55.432943+09:00,2026-03-11 18:29:25.418207+09:00,29,83.13793103448276,85,82,session
1,summary,,,59,78.30229885057472,,,summary
3,1,2026-03-11 17:41:21.377142+09:00,2026-03-11 17:41:51.376306+09:00,31,86.48387096774194,90,83,session
3,2,2026-03-11 18:29:43.320832+09:00,2026-03-11 18:30:13.318565+09:00,30,74.33333333333333,76,74,session
3,summary,,,61,80.40860215053763,,,summary
1,1,2026-03-11 17:40:08.782707+09:00,2026-03-11 17:40:38.781122+09:00,30,73.46666666666667,77,69,session
1,2,2026-03-11 18:28:55.432943+09:00,2026-03-11 18:29:25.418207+09:00,29,83.13793103448276,85,82,session
1,summary,,,59,78.30229885057472,,,summary
3,1,2026-03-11 17:41:21.377142+09:00,2026-03-11 17:41:51.376306+09:00,31,86.48387096774194,90,83,session
3,2,2026-03-11 18:29:43.320832+09:00,2026-03-11 18:30:13.318565+09:00,30,74.33333333333333,76,74,session
3,summary,,,61,80.40860215053763,,,summary
